1	Take the boat to Azuremyst Isle, it's the middle pier
2	Go upstairs to the right at the first intersection in the cave
3	Travel north to Bloodmyst Isle
4	This is for your resurection spell, grind a bit
5	Kill Bristlelimb mobs in this area to make him appear
6	Click Princess Stillpines Cage
7	Use the Draenei Banner on Lord Xiz' corpse
8	Click the Blood Mushroom
9	Either from a Stinkhorn Striker or a Aquatic Stinkhorn doodad
10	Use the Crystal Mining Pick at the Impact Site Crystal
11	Use Murloc Tagger on Scouts
12	Travel along the coast where Murlocs are, Cruelfin patrols between the camps.
13	Hearth to Blood Watch
14	Click the Fel Cone Fungus
15	Retrieve the Nazzivus Monument Glyph
16	Patrols up and down the camp, or stays infront of the monument.
17	Click the Ruinous Polyspore
18	Don't do The Bear Necessities, drop rate is terrible.
19	Don't go to Exodar to train just yet.
20	Use the Crystal Mining Pick at the Altered Bloodmyst Crystal
21	Fly to the Exodar
22	Fly to Blood Watch
23	Click Corrupted Crystals
24	Mine the big red crystal close to Zevrax
25	Click Clopper's Equipment
26	He Patrols around the middle.
27	Check the mailbox
28	Read the letter
29	Kill some Royal Blue Flutterers if you travel past them.
30	Click Galaen's Journal
31	Kill while traveling northwest at 31.3,42.7
32	Rescue Expedition Researchers from the Webs
33	Talk to the Captured Sunhawk Agent
34	Look for a partner to fight Matis the Cruel with
35	Travel on the road looking for Matis the Cruel
36	Summon aid with the Flare gun while in combat
37	WARNING: ESCORT
38	Pick up Dragon Bones lying on the ground
39	Destroy the Statue of Queen Azshara
40	All over the island
41	Click Ysera's Tear
42	Click the Ever-burning Pyre to summon Razormaw
43	Buy 5 flask of oil from the Auction Hous
44	Make/find a group for Deadmines and get teleported
45	Have the group share quests with you.
46	Click the Unsent Letter
47	Leave by the backdoor
48	You need to be at least 12745/19300 xp at lvl 19 at this point, not including the Lighthouse quests
49	Ask if you can buy Flask of oils from someone in your group, otherwise farm some Golems outside Deadmines
50	Travel east to Elwynn Forest
51	Travel north to Stormwind City
52	Head back to Stormwind City
53	Also sold by <Engineering Supplies> vendors near Engineering trainers.
54	Don't wait around for respawns, skip to the next step if there are no Murlocs around.
55	Skip this step if there's no Boars around, keep killing them as you met them in your travels.
56	Don't wait around for respawns, skip to the next step if no Gnolls around.
57	Skip this step if there's no Spiders around, keep killing them as you met them in your travels.
58	Skip this step if there's no Condors around, keep killing them as you met them in your travels.
59	Finish collecting items for Redridge Gulash at this point before you return to Lakeshire
60	You can find more Gnolls at 22.75,37.49
61	Travel north along the river towards Sven.
62	Head to Westfall
63	Enter the Deeprun Tram
64	Ride the tram to Ironforge
65	Go southwest to Dun Morogh
66	You need to be at least lvl 22 with 21700 xp gained before entering Menethil Harbor, grind long the way.
67	Kill crocolisks while traveling.
68	Head left when you enter the cave
69	WARNING: ESCORT!
70	IMPORTANT NOTE: Pull the mobs AHEAD of him before he reaches them! Even though he's tough, he charges into fights and can quickly get many adds. Outside, when he says that he's taking a rest, quickly take the opportunity to single pull continuously from the two big camps. If you do not, then he'll walk into the two big camps and pull every mob and you'll be doomed. If you do fail, you can go back in the cave and get the quest again. SUPER WARNING: SERVER WILL DESPAWN THE ESCORTEE IF YOU TRAVEL TO FAR AWAY FROM HIM, MAKE SURE HE'S ALWAYS IN YOUR VIEW DISTANCE.
71	If you got the Glowing Shadowhide Pendant; accept, otherwise skip this step.
72	The Jar is at the top of the stone tower next to the keep.
73	Group quest, consider abandoning
74	Travel Hard Right as you leave Northshire Valley towards Stormwind City
75	This quest might require cooking
76	Save 4 Chunk of Boar Meat for 'Pie for Billy' later.
77	Buy a Bronze Tube from the engineering supplies vendor in Tinker Town if you don't have one. You will need it later in Duskwood.
78	Exit Tram to Stormwind
79	If he doesn't offer the quest, learn Cooking from him.
80	WARNING: On Felmyst casters are fucked, especially on lower levels; casters at every level regen mana at 17 per tick. Depending on your class Bloodfeather Matriarchs will be impossible to kill. Skip the next step if you're having trouble.
81	He's a rare spawn with 2 hour respawn timer, don't stick around if he's not there.
82	Hearth to Darnassus
83	Go into the big pink portal to Darnassus
84	You can continue this guide which travels to Westfall, or skip to the guide Bloodmyst Isle.
85	Grind to at least 765 / 1400 (55%) at level 3, to ding level 4 by completing quests and get your earth totem.
86	This one is important to get your earth totem, go out and grind a bit.
87	If you want to level through Bloodmyst Isle, swap to the Bloodmyst Isle chapter now.
88	Go into the Fargodeep Mine to 38.3,81.6
89	Click Dead-tooth's Strongbox
90	If Westfall Deed drops from Defias Mobs, otherwise skip. Don't farm for it; 1% dropchance.
91	If Gold Pickup Schedule drops from Gnolls, otherwise skip. Don't farm for it; 1% dropchance.
92	Remember to train while you're in Goldshire.
93	Only if Gold Pickup Schedule dropped from Gnolls.
94	Only if Westfall Deed dropped from Defias Mobs earlier.
95	Save 'Boar Intestines' for 'Thelsamar Blood Sausages' later.
96	There's a step later to kill more Harvest Watchers, if there is competition here.
97	Save 'Murloc Fins' for 'Murloc Poachers' later.
98	Click Sack of Oats
99	Kill spiders, boars and bears while traveling.
100	Hopefully someone else is around to help out with this one, otherwise abandon this quest.
101	Hearth to Stormwind City
102	Fly to Westfall
103	Hearth or fly to Stormwind City
104	Ride the boat to Auberdine, this part is just to reach 20, skip to the next guide whenever you do.
105	Enter the hole in the ship here
106	There are two escorts coming soon, team up with someone if you meet them on the way.
107	The Absent Minded Prospector is particularly rough to solo, make sure you share the quest you have before turning it in.
108	Skip to the next step.
109	Click the Book: The Powers Below
110	This one is hard to solo, unless you're comfortable with killing 3 mobs at once. Feel free to skip it.
111	Remember to share the prequest before turning in.
112	Click the small chest next to Kerlonian Evershade
113	WARNING: EVENT
114	When Kerlonian falls asleep, use the Horn of Awakening on him.
115	If you didn't finish the Absent Minded Prospector, skip the rest of this guide. Fly to Auberdine
116	Train your riding skill outside the Exodar
117	Train your riding skill in the Cenarion Enclave
118	Hearth to Stormwind
119	Train your riding skill at Steelgrill's Depot
120	Train your riding skill at Amberstill Ranch
121	Train your riding skill at the Eastvale Logging Camp
122	Buy a Bronze Tube from the Auction House, last call!
123	Don't wait for respawns, skip to the next step if there are no Murlocs around.
124	Go south to Duskwood
125	He's tough to solo, team up with someone if they are nearby.
126	You need to be at least lvl 22 with 21700 xp gained before entering Menethil Harbor, grind along the way if needed.
127	2nd Floor. In the middle room as you go up the stairs.
128	Important, go outside and grind a bit if you're close.
129	Click the Fossil inside the cave
130	Go north to Elwynn Forest
131	If you didn't get the Glowing Shadowhide Pendant skip this step.
132	TODO: make this 2 steps
133	Fen Creepers are stealthed in the marsh, look up their positions on a database.
134	Jump down into the waters below and dive to find a Waterlogged Letter at the bottom, it's tiny and doesn't have any exclamation mark so look carefully
135	Click the Waterlogged Envelope
136	The path up starts here
137	If you found the Old History Book from Duskwood accept this quest now, otherwise skip.
138	Click the Old History Book
139	Click Defias Strongbox
140	It's inside the house.
141	Kill Mor'Ladim now to get the most out of this questline
142	Go to the broken edge of the north-west part of the bridge and face south
143	Mount up and jump down to the beam below, you need to jump at the very edge to make it
144	If you didn't get the Old History Book from Duskwood, skip this step.
145	Travel south to Ashenvale
146	Random 2% drop from the demons, don't stick around for this if you don't get it.
147	Travel south to the Barrens
148	Take the boat to Theramore
149	Travel west to the Barrens
150	Click the Damaged Chest
151	As you enter the cave, take the right fork at the cross.
152	Save 'Turtle Meat' for 'Soothing Turtle Bisque' later.
153	Buy both these items together from the Auction House:
154	Learn Cooking to unlock an additional quest in Southshore.
155	Click the Tome of the Cabal
156	It's at the waterline next to some murloc huts.
157	Enter the cave and get Granite
158	Click Alterac Granite
159	Buy the following items from the Auction House
160	If you wait around you can get a new questline when Private Thorsen starts patroling.
161	I prefer this camp, less risk of horde interference
162	Buy 8 Liferoot from herbalists.
163	The path up to the cave starts here
164	Be prepared to meet horde.
165	Mine more and sell on the Auction House, kthx.
166	The courier spawns at the house to the south of Go'Shek farm, and will start travelling west along the road. Ask around if anyone has seen it.
167	Head into the cave at the marker, focus on getting the Shadow Hunter Knife first.
168	You're gonna need some help with fighting Cyclonian, try looking for people
169	Use the cauldron
170	Warning: Event
171	Marez is either behind the last house on the lower tier or behind the last house on the upper tier.
172	The path down to the cove starts here
173	Enter the ship here, head down the stairs
174	Leave the ship the same way you entered
175	Enter the ship here, enter through the hole in the deck
176	It's one floor down, head up for air then go down to the ship bottom, there is a hole in the bottom right next to the item you need.
177	Equip the Goggles of Gem Hunting
178	Click the Calcified Elven Gem
179	Go into the hut to 62.6,35.3
180	Use your Tome of the Cabal while standing on the pink Summoning Circle
181	Turn in the Missing Diplomat, Archmage Tervosh is supposed to teleport to meet you at Sentry Point, but this might not be scripted. Travel back to Theramore and turn it in at the central tower.
182	You can skip this step, keep killing Turtles as you find them, you will run up and down the coast in the following steps, a reminder will be given later.
183	Tervosh and Jaina are supposed to teleport in like last time, if it doesn't happen, turn this in when you get the quest "Jaina Must Know", which is very soon.
184	Avoid the horde camp
185	Put on the Repaired Diving Gear
186	Use Salvage Kit on Shipwreck Debris
187	Last chance to finish this quest.
188	Hearth (if ready) or Fly to Theramore
189	Get a flight tour of the Alcaz island from Cassa Crimsonwing
190	The Potion of Fortitude from this quest is highly sought after by by the users of Zygor Guide. This guide does not visit that particular quest so you can sell it on the AH.
191	Travel your own way to Southshore, this is a good time to drop by a capitol city to train.
192	Be on the lookout for Shadowy Assassins that ambush Southshore periodically, skip to the next step and return here later.
193	Click the Assassin's Contract
194	If you fought the Shadowy Assassins, otherwise skip.
195	Collecting Tomes is only for those who found the Old History book in Duskwood.
196	Click the Weathered Bookcase
197	This is a Recipe needed for a quest very soon. Make extra and put them on the auction house, kthx!
198	Start here and kill 1 Argus Shadow Mage every camp moving northwest
199	If you fought the Shadowy Assassins in Southshore, otherwise skip.
200	APPROACH THE HOUSE CAREFULLY, THERE ARE A LOT OF STEALTHED ASSASSINS HERE
201	Loot the chest inside the house, next to Nagaz
202	Click the Ensorcelled Parchment
203	Fly to Refuge Pointe
204	He travels around the entire zone, look up his path on a database and ask around. Good luck!
205	He's at the top of the tower in the middle of the Mage Quarter.
206	Buy the following items from the Auction House in this order:
207	If you cannot buy some of these, ask people to make them for you in General and Trade chat.  Offer to pay well and you will usually get someone to do it for you. Gyro can be bought from Engineering Supply vendors.
208	For "Coolant Heads Prevail".
209	For "Gyro... What?", requires "Coolant Heads Prevail".
210	Both together for "Liquid Stone", requires "Gyro... What?".
211	For "Stone Is Better than Cloth".
212	For "Pearl Diving".
213	Kill Coyotes on the way north
214	Buy the following items from the Auction House, double check in Booty when you get there if not enough in Stormwind City.
215	They are little blue bottles that can spawn anywhere along this beach close to the water. This is mostly a reminder to look out for them, skip to next step.
216	Kill Bloodsail pirates anywhere in this corner of the world
217	Click The Emperor's Tomb
218	Click the Fall of Gurubashi
219	Click Gri'lek the Wanderer
220	Use Caitlyn's Blade at the Altar of the Tides and then kill Gazban
221	Click the Moon Over the Vale
222	Look for Mystics and Witch Doctors further in the camp
223	Last chance to buy the missing pages, don't forget them in your bank now.
224	This is your last visit to this camp, turn in all remaining pages.
